object_id,timestep,labelimage_oid,User Label,Predicted Class,Probability of Label 1,Probability of Label 2,Size in pixels,Bounding Box Minimum_0,Bounding Box Minimum_1,Bounding Box Maximum_0,Bounding Box Maximum_1,Center of the object_0,Center of the object_1
101,0,102,0,Label 1,1.0,0.0,229.0,17466.0,7204.0,17480.0,7225.0,17472.371,7213.847
102,0,103,0,Label 1,1.0,0.0,224.0,14160.0,7298.0,14179.0,7315.0,14168.339,7305.6475
103,0,104,0,Label 1,1.0,0.0,268.0,15442.0,7338.0,15463.0,7356.0,15452.791,7345.735
104,0,105,0,Label 1,1.0,0.0,211.0,12889.0,7348.0,12907.0,7368.0,12896.957,7358.1562
105,0,106,0,Label 1,1.0,0.0,225.0,10912.0,7359.0,10931.0,7374.0,10920.645,7365.6533
106,0,107,0,Label 1,1.0,0.0,227.0,16850.0,7386.0,16867.0,7405.0,16858.357,7394.9165
107,0,108,0,Label 1,1.0,0.0,273.0,9324.0,7387.0,9341.0,7408.0,9332.19,7396.7656
108,0,109,0,Label 1,1.0,0.0,116.0,16989.0,7391.0,17001.0,7404.0,16994.586,7396.9395
109,0,110,0,Label 1,1.0,0.0,299.0,17023.0,7392.0,17040.0,7416.0,17031.08,7403.702
110,0,111,0,Label 1,1.0,0.0,301.0,12762.0,7460.0,12782.0,7480.0,12771.272,7469.711
111,0,112,0,Label 1,1.0,0.0,287.0,12571.0,7488.0,12590.0,7509.0,12579.924,7497.784
112,0,113,0,Label 1,1.0,0.0,128.0,16411.0,7512.0,16427.0,7523.0,16418.719,7516.867
113,0,114,0,Label 1,1.0,0.0,138.0,14877.0,7518.0,14889.0,7533.0,14882.769,7524.9854
114,0,115,0,Label 1,1.0,0.0,40.0,9814.0,7588.0,9820.0,7596.0,9816.5,7591.375
115,0,116,0,Label 1,1.0,0.0,102.0,17046.0,7607.0,17060.0,7617.0,17052.96,7611.539
116,0,117,0,Label 1,1.0,0.0,244.0,12969.0,7661.0,12985.0,7680.0,12976.397,7670.2007
117,0,118,0,Label 1,1.0,0.0,243.0,10435.0,7708.0,10449.0,7730.0,10441.584,7718.432
118,0,119,0,Label 1,1.0,0.0,208.0,16313.0,7737.0,16329.0,7754.0,16320.678,7744.8413
119,0,120,0,Label 1,1.0,0.0,147.0,17302.0,7741.0,17314.0,7756.0,17307.28,7748.0273
120,0,121,0,Label 1,1.0,0.0,103.0,11558.0,7773.0,11566.0,7790.0,11561.864,7781.233
121,0,122,0,Label 1,1.0,0.0,144.0,17149.0,7782.0,17167.0,7795.0,17157.541,7788.278
122,0,123,0,Label 1,1.0,0.0,278.0,12561.0,7814.0,12582.0,7833.0,12571.227,7824.2124
